asin,sku,brand,model,buybox_price,amazon_1p_price,merchant_low_price,buybox_seller_name,buybox_seller_id,offer_count,error,fetched_at
B0BLKCDRNB,FBA76727,Audio Array,AM-C24,,,,,,,HTTP 429,2026-08-03T07:52:36.708085+00:00
B0C59G1C4N,FBA76737,Audio Array,AA-10,2299.0,2299.0,,Other 3P (A28KGDTB760OU9),A28KGDTB760OU9,1.0,,2026-08-03T07:52:36.708085+00:00
B0BLK6P24G,FBA76717,Audio Array,AM-C14,,,,,,,,2026-08-03T07:52:36.708085+00:00
B0BLRGCNRG,FBA76738,Audio Array,AA-11,,,,,,,,2026-08-03T07:52:36.708085+00:00
B0BLNDQ757,FBA76729,Audio Array,AM-C26,,,,,,,,2026-08-03T07:52:36.708085+00:00
B0BPMBMN3S,FBA77010,Audio Array,AI-04 Black,,,,,,,,2026-08-03T07:52:36.708085+00:00
B0DFTVZPM8,FBAM75673,Audio Array,AM-C1,,,,,,,HTTP 429,2026-08-03T07:52:36.708085+00:00
B0BLKCXQRT,FBA76719,Audio Array,AM-C16,,,,,,,,2026-08-03T07:52:36.708085+00:00
B0BLNC5D8L,FBA76724,Audio Array,AM-C21,,,,,,,,2026-08-03T07:52:36.708085+00:00
B0BLKCJXZR,FBA76733,Audio Array,AI-02,,,,,,,,2026-08-03T07:52:36.708085+00:00
B0BLS63XCL,FBA76736,Audio Array,AA-09,2299.0,2299.0,,Other 3P (A28KGDTB760OU9),A28KGDTB760OU9,1.0,,2026-08-03T07:52:36.708085+00:00
B0BLRKFBBP,FBA76740,Audio Array,AA-13,,,,,,,,2026-08-03T07:52:36.708085+00:00
B0BLS2HJ68,FBA76741,Audio Array,AA-14,,,,,,,,2026-08-03T07:52:36.708085+00:00
B0C53CQV5Z,FBA78207,Audio Array,AA-15,,,,,,,,2026-08-03T07:52:36.708085+00:00
B0CF5T1LFR,FBA78970,Audio Array,AA-16,,,,,,,,2026-08-03T07:52:36.708085+00:00
B0CF5TVDRT,FBA78977,Audio Array,AA-23,,,,,,,,2026-08-03T07:52:36.708085+00:00
B0CF5PCL34,FBA78978,Audio Array,AA-24,,,,,,,,2026-08-03T07:52:36.708085+00:00
B0CF9BY345,FBA79004,Audio Array,AI-05,,,,,,,,2026-08-03T07:52:36.708085+00:00
B0CPXVV5XN,FBA79180,Audio Array,AB-02 (AI-04 Red + AM-C2),,,,,,,HTTP 429,2026-08-03T07:52:36.708085+00:00
B0CPXXJM6C,FBA79181,Audio Array,AB-03 (AM-C11+ AI-04 + AA-05),,,,,,,,2026-08-03T07:52:36.708085+00:00
B0CPXXYY6H,FBA79182,Audio Array,AB-04 (2xAM-C2 + AI-04 Red),,,,,,,HTTP 429,2026-08-03T07:52:36.708085+00:00
B0CPXWXCBS,FBA79183,Audio Array,AB-05 (2xAM-C11+AI-04Red+2xAA-05),,,,,,,,2026-08-03T07:52:36.708085+00:00
B0G4DNF8RZ,FBA79842,Audio Array,AM-C48,3299.0,3299.0,,Other 3P (A28KGDTB760OU9),A28KGDTB760OU9,2.0,,2026-08-03T07:52:36.708085+00:00
B0FJ2HZCVN,FBA79823,Audio Array,PB-01 (AM-C11 + AI-04),8999.0,8999.0,,Other 3P (A28KGDTB760OU9),A28KGDTB760OU9,2.0,,2026-08-03T07:52:36.708085+00:00
B0FJ2K95XT,FBA79824,Audio Array,GB-01 (AM-C43 +AI-10),5336.0,5299.0,,Other 3P (A1WYWER0W24N8S),A1WYWER0W24N8S,2.0,,2026-08-03T07:52:36.708085+00:00
B0FJ8W5Y9Q,FBA79831,Audio Array,GB-04 (AM-C45 + AI-06),,,,,,,HTTP 429,2026-08-03T07:52:36.708085+00:00
B0FJ8T4WXM,FBA79834,Audio Array,PB-05 (AA-05 + AM-C11 + AI-04),,,,,,,HTTP 429,2026-08-03T07:52:36.708085+00:00
B0FJ8TWCQZ,FBA79835,Audio Array,PB-06 (AA-05 + AM-C44 + AI-04),,,,,,,HTTP 429,2026-08-03T07:52:36.708085+00:00
