week,Model,inventory_ampm,inventory_1p,inventory_amazon,inventory_total_amazon,pipeline_orders,inv_units_model
13,ES3020,0.0,0.0,53.0,53.0,0.0,53.0
13,ES3284,0.0,0.0,24.0,24.0,0.0,24.0
13,ES3405,0.0,0.0,10.0,10.0,0.0,10.0
13,ES3466,0.0,0.0,155.0,155.0,0.0,155.0
13,ES3843,0.0,0.0,82.0,82.0,0.0,82.0
13,ES4433,0.0,0.0,123.0,123.0,0.0,123.0
13,ES4519,0.0,0.0,100.0,100.0,0.0,100.0
13,ES4628,0.0,0.0,36.0,36.0,0.0,36.0
13,ES5271,0.0,0.0,4.0,4.0,0.0,4.0
13,ES5278,0.0,0.0,2.0,2.0,0.0,2.0
13,ES5303,0.0,0.0,7.0,7.0,0.0,7.0
13,ES5306,0.0,0.0,8.0,8.0,0.0,8.0
13,ES5310,0.0,0.0,12.0,12.0,0.0,12.0
13,ES5319,0.0,0.0,12.0,12.0,0.0,12.0
13,ES5323,0.0,0.0,13.0,13.0,0.0,13.0
13,ES5329,0.0,0.0,23.0,23.0,0.0,23.0
13,ES5331,0.0,0.0,2.0,2.0,0.0,2.0
13,ES5338,0.0,0.0,18.0,18.0,0.0,18.0
13,ES5349,0.0,0.0,21.0,21.0,0.0,21.0
13,ES5350,0.0,0.0,8.0,8.0,0.0,8.0
13,ES5357,0.0,0.0,15.0,15.0,0.0,15.0
13,ES5358,0.0,0.0,20.0,20.0,0.0,20.0
13,ES5361,0.0,0.0,74.0,74.0,0.0,74.0
13,ES5363,0.0,0.0,14.0,14.0,0.0,14.0
13,ES5364,0.0,0.0,22.0,22.0,0.0,22.0
13,ES5380,0.0,0.0,3.0,3.0,0.0,3.0
13,ES5381,0.0,0.0,3.0,3.0,0.0,3.0
13,ES5386,0.0,0.0,4.0,4.0,0.0,4.0
13,ES5387SET,0.0,0.0,10.0,10.0,0.0,10.0
13,ES5388,0.0,0.0,71.0,71.0,0.0,71.0
13,ES5398,0.0,0.0,3.0,3.0,0.0,3.0
13,ES5399,0.0,0.0,3.0,3.0,0.0,3.0
13,ES5400,0.0,0.0,2.0,2.0,0.0,2.0
13,ES5402,0.0,0.0,0.0,0.0,0.0,0.0
13,ES5417,0.0,0.0,3.0,3.0,0.0,3.0
13,ES5418,0.0,0.0,5.0,5.0,0.0,5.0
13,ES5419,0.0,0.0,15.0,15.0,0.0,15.0
13,ES5420,0.0,0.0,5.0,5.0,0.0,5.0
13,ES5421,0.0,0.0,4.0,4.0,0.0,4.0
13,ES5422,0.0,0.0,3.0,3.0,0.0,3.0
13,ES5434,0.0,0.0,6.0,6.0,0.0,6.0
13,ES5438,0.0,0.0,3.0,3.0,0.0,3.0
13,ES5439,0.0,0.0,11.0,11.0,0.0,11.0
13,ES5443,0.0,0.0,16.0,16.0,0.0,16.0
13,ES5444,0.0,0.0,14.0,14.0,0.0,14.0
13,ES5451,0.0,0.0,16.0,16.0,0.0,16.0
13,ES5452,0.0,0.0,65.0,65.0,0.0,65.0
13,ES5456,0.0,0.0,6.0,6.0,0.0,6.0
13,ES5472,0.0,0.0,14.0,14.0,0.0,14.0
13,ET-01-BK,720.0,0.0,172.0,892.0,0.0,892.0
13,ET-02-GN,83.0,0.0,123.0,206.0,0.0,206.0
13,ET-03-BL,34.0,0.0,0.0,34.0,0.0,34.0
13,ET-05-PI,0.0,0.0,0.0,0.0,0.0,0.0
13,ETC-04,0.0,0.0,0.0,0.0,0.0,0.0
13,ETC-04-WH,1161.0,0.0,63.0,1224.0,0.0,1224.0
13,ETC-05-PI,92.0,1.0,36.0,129.0,0.0,129.0
13,ETC-07,2530.0,0.0,0.0,2530.0,0.0,2530.0
13,ETC-07-WH,0.0,0.0,105.0,105.0,0.0,105.0
13,ETC-08,0.0,0.0,0.0,0.0,0.0,0.0
13,ETC-08 - BLUE,1035.0,0.0,0.0,1035.0,0.0,1035.0
13,ETC-08-BL,0.0,0.0,114.0,114.0,0.0,114.0
13,ETR-06,49.0,0.0,29.0,78.0,0.0,78.0
